Ligand SMILES,IC50,label
CO[C@@H](c1ccc(F)cc1)C(F)(F)CNC(=O)c1c(C)ccc(c1F)-c1ccn2nc(N)nc2c1,0.6,1
Cc1ccc(c(F)c1C(=O)NCC[C@H](O)c1ccc(Cl)cc1F)-c1ccn2nc(N)nc2c1,0.6,1
Cc1cc(F)c(cc1C(=O)NCC[C@@H](O)c1ccc(cc1)C(F)(F)F)-c1ccn2nc(N)nc2c1,0.6,1
Cc1ccc(c(F)c1C(=O)NC[C@@H](F)[C@@H](O)c1ccc(Cl)cc1)-c1ccn2nc(N)nc2c1,0.6,1
CN1c2ccccc2OC[C@H](NC(=O)c2ncn(Cc3ccccc3)n2)C1=O,0.63,1
CN1c2cc(NS(C)(=O)=O)ccc2OC[C@H](NC(=O)c2cc(Cc3ccccc3)on2)C1=O,0.63,1
Cc1ccc(-c2ccn3nc(N)nc3c2)c(F)c1C(=O)NCC(F)(F)C(O)c1ccc(F)cc1,0.7,1
Cc1ccc(c(F)c1C(=O)NCC[C@@H](O)c1ccc(Cl)c(Cl)c1)-c1ccn2nc(N)nc2c1,0.7,1
Cc1ccc(-c2ccn3nc(N)nc3c2)c(F)c1C(=O)NCC(F)(F)C(O)(C(F)F)c1ccc(F)cc1,0.7,1
Nc1nc2cc(ccn2n1)-c1ccc(Cl)c(C(=O)NCC(F)(F)[C@@H](O)c2ccc(Cl)c(F)c2)c1F,0.7,1
Cc1ccc(-c2ccn3nc(N)nc3c2)c(F)c1C(=O)NCC(F)(F)C(C)(O)c1ccc(cc1)C(F)(F)F,0.7,1
Nc1nc2cc(ccn2n1)-c1ccc(Cl)c(C(=O)NCC(F)(F)[C@@H](O)c2ccc(F)cc2)c1F,0.7,1
CN1c2ccccc2NC[C@H](NC(=O)c2cc(Cc3ccccc3)on2)C1=O,0.79,1
CN1c2ccccc2OC[C@H](NC(=O)c2nnc(Cc3ccccc3)o2)C1=O,0.79,1
Cc1ccc(c(F)c1C(=O)NCC[C@H](O)c1ccc(Cl)cc1)-c1ccn2nc(N)nc2c1,0.8,1
