zinc,,Smiles,Dock,SA,HBA,HBD,ROTB,LOGP,QED,MW
ZINC000085897746,,O=C1c2c(-c3ccccc3)ccc3ccc4c(c23)[C@@H]2[C@@H]3c5c(ccc6ccc(-c7ccccc7)c(c56)C(=O)[C@]3(O)O4)O[C@]12O,-12.8,4.349221455,6,2,2,6.749,0.23776932,574.6
ZINC000085897756,,O=C1c2c(-c3ccccc3)ccc3ccc4c(c23)[C@@H]2[C@@H]3c5c(ccc6ccc(-c7ccc(O)cc7)c(c56)C(=O)[C@]3(O)O4)O[C@]12O,-12.5,4.497133914,7,3,2,6.4546,0.212331704,590.6
ZINC000029127186,,NC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,-12.4,2.245617657,4,3,5,5.289,0.490696391,450.8
ZINC000085897741,,O=C1c2c(-c3ccccc3)ccc3ccc4c(c23)[C@H]2[C@@H]3c5c(ccc6ccc(-c7ccccc7)c(c56)C(=O)[C@]3(O)O4)O[C@]12O,-12.4,4.349221455,6,2,2,6.749,0.23776932,574.6
ZINC000085897751,,O=C1c2c(-c3ccccc3)ccc3ccc4c(c23)[C@H]2[C@@H]3c5c(ccc6ccc(-c7ccc(O)cc7)c(c56)C(=O)[C@]3(O)O4)O[C@]12O,-12.3,4.497133914,7,3,2,6.4546,0.212331704,590.6
ZINC000003817154,,NC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)cc[n+]1[O-],-12.2,2.651499505,4,3,5,4.5274,0.377686447,466.8
ZINC000004214742,,Cc1c[nH]c2c1[C@]13C[C@H]1CN(C(=O)c1cc4cc(NC(=O)c5cc6ccccc6o5)ccc4[nH]1)C3=CC2=O,-12.2,4.269191684,4,3,3,5.29682,0.310988998,502.5
ZINC000051951668,,Nc1nc(Nc2ccc3c(c2)CC[C@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2,-12.2,3.364152721,7,2,4,4.882,0.380717605,506.7
ZINC000100828824,,O=C1c2c(-c3ccc(O)cc3)ccc3ccc4c(c23)[C@@H]2[C@@H]3c5c(ccc6ccc(-c7ccccc7)c(c56)C(=O)[C@]3(O)O4)O[C@]12O,-12.2,4.497133914,7,3,2,6.4546,0.212331704,590.6
ZINC000014974393,,O=C(Nc1ccccc1)Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@H]3C(=O)O)cc2)cc1,-12.1,2.720712911,4,3,6,5.6812,0.440161805,428.5
